Results Log

logfileUR.txt

Random Generator Seed: 1382220550
Number of Runs: 30
Number of Evaluations: 10000
Random Flag: 1
Puzzle File Name: testpuzzle.txt

Run 1
5000	114	125	-11	-1	-19	-17
5100	113	125	-12	-1	-19	-17
5200	113	122	-11	-1	-19	-17
5300	112	125	-11	-1	-19	-15
5400	111	125	-12	-1	-18	-17
5500	110	125	-11	-1	-18	-17
5600	111	125	-12	-1	-19	-17
5700	111	126	-12	-1	-18	-17
5800	110	126	-11	-1	-18	-17
5900	110	126	-11	-1	-18	-17
6000	111	126	-11	-1	-19	-17
6100	110	122	-12	-1	-19	-18
6200	110	122	-12	-1	-18	-17
6300	111	125	-12	-1	-19	-16
6400	111	124	-12	-1	-19	-16
6500	111	124	-11	-1	-19	-16
6600	111	122	-12	-1	-19	-16
6700	111	123	-11	-1	-19	-16
6800	111	126	-12	-1	-19	-16
6900	111	122	-11	-1	-19	-16
7000	111	123	-11	-1	-19	-16
7100	112	123	-11	-1	-19	-16
7200	109	122	-12	-1	-18	-16
7300	108	122	-12	-1	-18	-16
7400	108	122	-12	-1	-18	-17
7500	108	122	-12	-1	-18	-17
7600	108	122	-12	-1	-18	-17
7700	108	122	-12	-1	-18	-17
7800	108	120	-12	-1	-18	-17
7900	108	120	-12	-5	-18	-18
8000	108	120	-12	-5	-18	-18
8100	108	120	-12	-5	-18	-17
8200	107	120	-12	-5	-18	-17
8300	107	120	-12	-5	-18	-17
8400	107	120	-12	-5	-18	-17
8500	108	120	-12	-5	-19	-17
8600	109	120	-12	-6	-19	-18
8700	109	120	-12	-6	-19	-18
8800	108	120	-11	-6	-18	-18
8900	109	120	-12	-3	-18	-18
9000	108	120	-11	-3	-18	-18
9100	108	122	-11	-3	-18	-18
9200	107	121	-11	-3	-18	-18
9300	107	121	-11	-3	-18	-18
9400	107	121	-11	-3	-18	-18
9500	107	121	-11	-3	-18	-18
9600	108	120	-11	-3	-19	-17
9700	108	120	-11	-6	-19	-17
9800	108	122	-11	-4	-19	-17
9900	109	122	-11	-3	-19	-17
10000	109	122	-11	-4	-19	-18

Run 3
100	135	148	0	0	-17	-10
200	123	145	-2	6	-17	-10
300	119	143	-2	6	-17	-11
400	117	140	-3	5	-17	-12
