Results Log

logfileFPT.txt

Random Generator Seed: 1382225581
Number of Runs: 30
Number of Evaluations: 10000
Random Flag: 1
Puzzle File Name: testpuzzle.txt

Run 1
100	3	3	0	0	-32	-32
200	5	15	0	0	-30	-30
300	6	17	0	0	-30	-30
400	6	16	0	0	-30	-30
500	7	19	0	0	-30	-29
600	7	17	0	0	-30	-29
700	7	17	0	0	-30	-29
800	6	9	0	0	-30	-30
900	7	12	0	0	-30	-29
1000	7	15	0	0	-30	-30
1100	7	19	0	0	-30	-30
1200	7	15	0	0	-30	-29
1300	7	17	0	0	-30	-29
1400	7	17	0	0	-30	-29
1500	6	11	0	0	-30	-30
1600	7	19	0	0	-30	-30
1700	7	19	0	0	-30	-30
1800	7	11	0	0	-30	-30
1900	7	16	0	0	-30	-30
2000	7	16	0	0	-30	-30
2100	7	18	0	0	-30	-30
2200	7	28	0	0	-30	-29
2300	7	28	0	0	-30	-29
2400	7	16	0	0	-29	-29
2500	7	7	0	0	-30	-30
2600	7	23	0	0	-30	-30
2700	7	17	0	0	-30	-30
2800	7	11	0	0	-30	-29
2900	7	21	0	0	-29	-28
3000	7	20	0	0	-30	-30
3100	7	20	0	0	-30	-29
3200	7	11	0	0	-30	-29
3300	7	11	0	0	-30	-29
3400	7	16	0	0	-30	-29
3500	7	13	0	0	-30	-30
3600	7	13	0	0	-30	-30
3700	7	13	0	0	-30	-30
3800	7	17	0	0	-30	-30
3900	6	7	0	0	-30	-30
4000	7	12	0	0	-30	-30
4100	7	19	0	0	-30	-30
4200	7	19	0	0	-30	-29
4300	7	19	0	0	-30	-30
4400	7	19	0	0	-29	-28
4500	7	19	0	0	-29	-28
4600	7	17	0	0	-30	-29
4700	7	17	0	0	-30	-29
4800	7	17	0	0	-30	-30
4900	7	21	0	0	-30	-29
5000	7	12	0	0	-30	-30
5100	7	15	0	0	-30	-30
5200	5	9	0	0	-30	-30
5300	6	13	0	0	-30	-30
5400	6	7	0	0	-30	-30
5500	6	14	0	0	-30	-30
5600	6	14	0	0	-30	-30
5700	7	20	0	0	-30	-30
